AIRPORT_SEQ_ID;ID;AIRPORT;DISPLAY_AIRPORT_NAME;AIRPORT_COUNTRY_CODE_ISO;AIRPORT_STATE_NAME;LATITUDE;LONGITUDE;AIRPORT_IS_CLOSED
1000101;10001;01A;Afognak Lake Airport;US;Alaska;58.10944444;-152.9066667;0
1000301;10003;03A;Bear Creek Mining Strip;US;Alaska;65.54805556;-161.0716667;0
1000401;10004;04A;Lik Mining Camp;US;Alaska;68.08333333;-163.1666667;0
1000501;10005;05A;Little Squaw Airport;US;Alaska;67.57;-148.1838889;0
1000601;10006;06A;Kizhuyak Bay;US;Alaska;57.74527778;-152.8827778;0
1000701;10007;07A;Klawock Seaplane Base;US;Alaska;55.55472222;-133.1016667;0
1000801;10008;08A;Elizabeth Island Airport;US;Alaska;59.15694444;-151.8291667;0
1000901;10009;09A;Augustin Island;US;Alaska;59.36277778;-153.4305556;0
1001002;10010;1B1;Columbia County;US;New York;42.29138889;-73.71027778;0
1001104;10011;1G4;Grand Canyon West;US;Arizona;35.98611111;-113.8169444;0
1001201;10012;1N7;Blairstown Airport;US;New Jersey;40.97111111;-74.9975;0
1001301;10013;8F3;Crosbyton Municipal;US;Texas;33.62388889;-101.2408333;0
1001402;10014;A01;Blair Lake;US;Alaska;64.36361111;-147.3638889;0
1001501;10015;A02;Deadmans Bay Airport;US;Alaska;57.06666667;-153.9377778;0
1001601;10016;A03;Hallo Bay Airport;US;Alaska;58.4575;-154.0233333;0
1001701;10017;A04;Red Lake Airport;US;Alaska;57.27722222;-154.3422222;0
1001801;10018;A05;Shell Lake Airport;US;Alaska;61.96388889;-151.5558333;0
1001901;10019;A06;Navigator Airstrip;US;Alaska;65.65555556;-165.3563889;0
1002002;10020;A07;Roland Norton Memorial;US;Alaska;66.76611111;-160.1527778;0
1002101;10021;A08;Pillar Bay Airport;US;Alaska;56.59805556;-134.2427778;0
1002205;10022;A09;Johnstone Point Airport;US;Alaska;60.48166667;-146.5841667;0
1002302;10023;KTH;Tikchik Lodge Airport;US;Alaska;59.95555556;-158.4805556;0
1002401;10024;A11;Bell Creek Airport;US;Alaska;60.78388889;-159.5402778;0
1002501;10025;A12;Cinnabar Airport;US;Alaska;60.78527778;-158.8644444;0
1002601;10026;A13;Mountaintop Mine Airport;US;Alaska;61.39027778;-157.9955556;0
1002701;10027;A14;Whitebear Airport;US;Alaska;61.18888889;-159.8583333;0
1002802;10028;A15;Puviaq Airport;US;Alaska;70.71555556;-154.4069444;1
1002901;10029;A16;Arley Lake Airport;US;Alaska;70.74694444;-155.3608333;0
1003001;10030;A17;Port Vita Airport;US;Alaska;58.06555556;-153.0725;0
1003104;10031;A18;Kantishna Airport;US;Alaska;63.54111111;-150.995;0
1003301;10033;A20;Alpine Airstrip;US;Alaska;70.34416667;-150.9447222;0
1003401;10034;A21;Serpentine Airport;US;Alaska;65.85138889;-164.7027778;0
1003501;10035;A22;Driftwood Bay Airport;US;Alaska;53.97277778;-166.8569444;0
1003601;10036;A23;Bradley Lake Airport;US;Alaska;59.77611111;-151.9636111;0
1003701;10037;A24;Chilkat Lake Airport;US;Alaska;59.33166667;-135.8966667;0
1003801;10038;A25;Nugget Creek Airport;US;Alaska;59.28833333;-136.1738889;0
1003901;10039;A26;Ivotuk Airstrip;US;Alaska;68.48333333;-155.7333333;0
1004001;10040;A27;Pogo Mines Airport;US;Alaska;64.44;-144.9363889;0
1004101;10041;A28;Ayakulik River Airport;US;Alaska;57.25388889;-154.4222222;0
1004201;10042;A29;Kiluda Bay Airport;US;Alaska;57.32305556;-153.1494444;0
